Customer_ID,Transaction_ID,Product_Category,Product_Name,Quantity_Purchased,Purchase_Amount,Discount_Percentage,Final_Price,Purchase_Date,Payment_Method,Customer_Age,Customer_Gender,Region
1,T00001,Headphones,Bose 700,1,1168.87,22.01,911.6,3/19/2024,Debit Card,64,Male,South America
2,T00002,Headphones,AirPods Pro,8,659.06,4.12,631.91,3/11/2023,Credit Card,31,Male,North America
3,T00003,TV,LG OLED,8,1776.47,0.57,1766.34,11/8/2024,PayPal,26,Male,Asia
4,T00004,Smartwatch,Apple Watch Series 7,7,1877.17,29.35,1326.22,9/8/2023,Credit Card,26,Female,Europe
5,T00005,Headphones,Bose 700,3,2257.9,17.05,1872.93,10/30/2023,Credit Card,57,Male,Europe
6,T00006,Headphones,Sony WH-1000XM4,10,2084.76,5.87,1962.38,2/12/2025,Debit Card,56,Male,South America
7,T00007,Mobile,iPhone 13,1,336.55,14.26,288.56,11/19/2023,PayPal,59,Male,Africa
8,T00008,Laptop,HP Spectre x360,4,2885.72,29.62,2030.97,2/25/2024,Debit Card,52,Female,South America
9,T00009,TV,LG OLED,9,1950.86,4.51,1862.88,6/24/2024,PayPal,27,Male,Asia
10,T00010,Laptop,MacBook Pro,10,546.5,3.01,530.05,3/28/2024,PayPal,21,Male,Africa
11,T00011,TV,Sony Bravia,4,2087.35,27.81,1506.86,3/20/2024,Credit Card,63,Female,North America
12,T00012,Mobile,Google Pixel 6,7,1462.06,22.65,1130.9,7/9/2023,Credit Card,28,Female,Europe
13,T00013,TV,Sony Bravia,6,736.46,14.39,630.48,5/15/2023,Cash,28,Male,South America
14,T00014,Mobile,iPhone 13,7,1364.71,14.19,1171.06,5/18/2023,Credit Card,48,Male,Africa
15,T00015,Smartwatch,Samsung Galaxy Watch 4,6,1283.14,15.11,1089.26,1/28/2025,PayPal,62,Male,Africa
16,T00016,Mobile,iPhone 13,2,2103.24,23.98,1598.88,7/6/2024,Cash,29,Female,South America
17,T00017,Mobile,Samsung Galaxy S22,10,1050.31,4.84,999.47,11/7/2023,Cash,59,Female,Europe
18,T00018,Smartwatch,Samsung Galaxy Watch 4,10,212.63,16.56,177.42,6/25/2024,Credit Card,56,Female,Africa
19,T00019,Mobile,iPhone 13,7,2458.72,2.54,2396.27,5/10/2024,Credit Card,23,Female,Africa
20,T00020,TV,Sony Bravia,8,1288.12,6.06,1210.06,6/22/2024,Debit Card,59,Female,South America
21,T00021,Smartwatch,Samsung Galaxy Watch 4,1,340.22,15.8,286.47,7/28/2023,Cash,61,Male,Asia
22,T00022,Headphones,Sony WH-1000XM4,2,2845.22,27.68,2057.66,3/11/2024,Debit Card,30,Male,Asia
23,T00023,Laptop,Dell XPS 15,10,2309.37,18.61,1879.6,7/8/2024,Cash,40,Female,South America
24,T00024,TV,LG OLED,9,1818.74,3.43,1756.36,11/11/2024,PayPal,40,Female,North America
25,T00025,Smartwatch,Apple Watch Series 7,6,2380.98,27.88,1717.16,11/21/2024,PayPal,29,Female,Asia
26,T00026,Laptop,Dell XPS 15,9,1050.23,2.74,1021.45,3/4/2024,Debit Card,68,Female,Europe
27,T00027,Smartwatch,Samsung Galaxy Watch 4,3,257.7,9.5,233.22,2/25/2023,Credit Card,28,Female,South America
28,T00028,Headphones,Bose 700,6,1446.6,9.24,1312.93,1/19/2025,Debit Card,26,Male,Africa
29,T00029,Smartwatch,Samsung Galaxy Watch 4,3,357.52,28.64,255.13,11/5/2023,Cash,47,Male,Africa
30,T00030,Laptop,Dell XPS 15,4,937.84,10.53,839.09,2/6/2025,PayPal,22,Male,Europe
31,T00031,TV,LG OLED,6,1363.24,7.96,1254.73,5/19/2023,PayPal,58,Male,Europe
32,T00032,Headphones,Bose 700,1,2731.08,19.92,2187.05,8/17/2023,Credit Card,26,Female,Africa
33,T00033,Headphones,Bose 700,1,2086.79,0.76,2070.93,12/17/2024,PayPal,67,Male,Asia
34,T00034,Headphones,AirPods Pro,10,345.1,6.75,321.81,4/19/2023,Credit Card,23,Male,North America
35,T00035,Headphones,Sony WH-1000XM4,7,722.97,21.79,565.43,10/10/2023,PayPal,22,Male,Africa
36,T00036,Laptop,MacBook Pro,4,2295.1,0.8,2276.74,2/5/2025,Cash,70,Male,Africa
37,T00037,TV,LG OLED,4,826.88,1.3,816.13,11/11/2023,Debit Card,19,Male,Africa
38,T00038,TV,Sony Bravia,3,2989.6,24.03,2271.2,6/11/2023,PayPal,62,Female,North America
39,T00039,Headphones,Sony WH-1000XM4,6,1107.77,21.1,874.03,4/25/2024,Debit Card,60,Female,North America
40,T00040,Mobile,iPhone 13,3,1916.96,27.06,1398.23,8/25/2023,Debit Card,49,Female,Asia
41,T00041,Headphones,AirPods Pro,10,567.43,16.89,471.59,10/5/2023,Debit Card,20,Male,Asia
42,T00042,TV,Samsung QLED,9,1774.04,4.91,1686.93,7/3/2023,Cash,22,Female,South America
43,T00043,Headphones,AirPods Pro,2,2405.39,5.52,2272.61,8/6/2023,PayPal,69,Female,Asia
44,T00044,Laptop,HP Spectre x360,9,1488.11,18.84,1207.75,5/1/2023,PayPal,38,Female,Africa
45,T00045,Headphones,Bose 700,3,2770.15,14.8,2360.17,1/24/2025,Debit Card,54,Male,South America
46,T00046,Smartwatch,Garmin Forerunner,4,1290.55,6.44,1207.44,6/8/2024,Debit Card,59,Female,Africa
47,T00047,Laptop,HP Spectre x360,10,2472.12,7.28,2292.15,3/28/2024,Credit Card,30,Female,Europe
48,T00048,Laptop,HP Spectre x360,8,2079.97,21.42,1634.44,5/15/2023,PayPal,28,Female,Europe
49,T00049,Mobile,iPhone 13,4,81.83,24.73,61.59,11/16/2024,Credit Card,55,Female,Africa
50,T00050,Laptop,MacBook Pro,6,1364.15,5.01,1295.81,7/30/2024,Cash,65,Male,Asia
51,T00051,Headphones,Sony WH-1000XM4,6,1497.2,2.6,1458.27,9/6/2024,Cash,30,Female,Africa
52,T00052,Laptop,MacBook Pro,4,168.46,27.76,121.7,3/27/2024,Cash,31,Female,North America
53,T00053,Laptop,Dell XPS 15,9,1289.11,29.18,912.95,5/27/2023,Cash,21,Male,South America
54,T00054,Laptop,HP Spectre x360,8,1629.11,8.86,1484.77,3/27/2024,PayPal,24,Female,South America
55,T00055,Smartwatch,Samsung Galaxy Watch 4,5,1548.71,7.65,1430.23,1/6/2024,Debit Card,24,Female,South America
56,T00056,TV,Samsung QLED,9,2810.84,8.14,2582.04,1/29/2025,PayPal,55,Female,Asia
57,T00057,Headphones,Sony WH-1000XM4,3,588.85,2.44,574.48,8/19/2024,Credit Card,67,Female,North America
58,T00058,Smartwatch,Garmin Forerunner,7,2125.81,27.48,1541.64,6/10/2024,Credit Card,42,Male,Europe
59,T00059,Headphones,Bose 700,6,2639.59,10.05,2374.31,1/12/2025,Debit Card,63,Male,Europe
60,T00060,Headphones,AirPods Pro,5,1053.41,21.82,823.56,1/7/2024,Cash,30,Male,Asia
61,T00061,Smartwatch,Apple Watch Series 7,10,1478.52,18.26,1208.54,2/2/2024,PayPal,51,Female,Africa
62,T00062,Headphones,Sony WH-1000XM4,5,1219.64,16.03,1024.13,6/9/2024,PayPal,53,Female,Asia
63,T00063,Mobile,Google Pixel 6,5,999.63,0.38,995.83,2/26/2024,Cash,37,Male,North America
64,T00064,Laptop,MacBook Pro,8,291.15,27.41,211.35,11/24/2024,Debit Card,70,Female,Africa
65,T00065,TV,Sony Bravia,1,317.93,12.01,279.75,2/20/2024,Credit Card,45,Female,Asia
66,T00066,TV,Sony Bravia,3,2344.16,8.92,2135.06,3/7/2023,Debit Card,67,Female,Europe
67,T00067,Smartwatch,Samsung Galaxy Watch 4,9,2939.48,9.55,2658.76,5/22/2023,Credit Card,19,Female,South America
68,T00068,TV,Samsung QLED,1,1306.75,13.75,1127.07,11/22/2024,Cash,19,Male,South America
69,T00069,TV,Samsung QLED,1,1864.16,25,1398.12,9/6/2023,Cash,47,Female,Africa
70,T00070,Laptop,HP Spectre x360,6,1527.41,0.55,1519.01,9/19/2023,Debit Card,40,Male,North America
71,T00071,Smartwatch,Apple Watch Series 7,3,1802.69,21.9,1407.9,4/11/2023,Debit Card,61,Female,Asia
72,T00072,Laptop,HP Spectre x360,4,1130.63,2.02,1107.79,12/23/2023,Credit Card,38,Male,Africa
73,T00073,Laptop,MacBook Pro,1,1201.46,2.06,1176.71,4/9/2024,Debit Card,44,Female,Africa
74,T00074,Laptop,Dell XPS 15,4,1216.72,4.19,1165.74,1/29/2025,Debit Card,53,Male,Europe
75,T00075,Headphones,AirPods Pro,8,1352.5,15.65,1140.83,10/12/2023,Debit Card,47,Female,Asia
76,T00076,Headphones,AirPods Pro,6,2937.54,7.6,2714.29,2/28/2024,Debit Card,48,Male,Africa
77,T00077,Headphones,Bose 700,8,1385.75,0.22,1382.7,2/27/2023,Debit Card,26,Male,Asia
78,T00078,TV,LG OLED,6,2739.22,9.68,2474.06,10/30/2024,Credit Card,58,Male,Africa
79,T00079,Laptop,MacBook Pro,8,696.24,22.71,538.12,3/25/2024,Cash,23,Male,Europe
80,T00080,TV,Samsung QLED,10,2004.53,14.01,1723.7,1/10/2025,Credit Card,62,Male,South America
81,T00081,Headphones,Bose 700,8,1084.79,3.69,1044.76,9/24/2024,Cash,38,Male,Asia
82,T00082,Headphones,Bose 700,9,839.07,24.57,632.91,8/11/2023,Cash,63,Female,Asia
83,T00083,Laptop,Dell XPS 15,10,1497.76,13.61,1293.91,4/7/2024,Debit Card,40,Male,Africa
84,T00084,Mobile,iPhone 13,8,2594.6,25.25,1939.46,8/2/2024,Cash,65,Male,Europe
85,T00085,Smartwatch,Samsung Galaxy Watch 4,9,2215.26,13.25,1921.74,2/24/2024,PayPal,54,Male,Asia
86,T00086,Smartwatch,Samsung Galaxy Watch 4,10,68.54,22.15,53.36,9/4/2023,Cash,64,Female,Africa
87,T00087,Smartwatch,Garmin Forerunner,2,424.57,11.03,377.74,2/10/2024,Debit Card,69,Male,South America
88,T00088,Laptop,Dell XPS 15,2,1796.17,29.18,1272.05,11/8/2023,Cash,60,Male,South America
89,T00089,Laptop,Dell XPS 15,3,380.93,28.98,270.54,3/17/2024,Debit Card,52,Female,Asia
90,T00090,Smartwatch,Garmin Forerunner,8,2840.47,1.81,2789.06,9/23/2024,Cash,45,Male,Asia
91,T00091,TV,Sony Bravia,4,268.81,27.74,194.24,5/24/2024,Credit Card,24,Male,South America
92,T00092,Mobile,iPhone 13,3,1588.11,9.4,1438.83,11/26/2023,PayPal,59,Female,North America
93,T00093,Headphones,AirPods Pro,6,417.24,12.41,365.46,3/1/2023,Cash,55,Male,Asia
94,T00094,Headphones,Sony WH-1000XM4,3,734.66,21.56,576.27,10/16/2023,PayPal,55,Male,Africa
95,T00095,Smartwatch,Samsung Galaxy Watch 4,10,489.8,27.8,353.64,6/19/2023,Debit Card,21,Male,Africa
96,T00096,Mobile,Google Pixel 6,7,2192.36,29.91,1536.63,4/6/2023,Credit Card,43,Male,Africa
97,T00097,Smartwatch,Garmin Forerunner,9,2249.26,9.89,2026.81,2/20/2025,Cash,30,Female,North America
98,T00098,Mobile,iPhone 13,2,1704.05,29.54,1200.67,6/21/2024,Cash,68,Male,North America
99,T00099,Laptop,MacBook Pro,6,1171.41,6.17,1099.13,8/12/2023,Debit Card,21,Female,Asia
100,T00100,Mobile,iPhone 13,5,2995.01,16.06,2514.01,7/15/2024,Debit Card,64,Male,Africa
101,T00101,TV,LG OLED,6,2205.91,20.01,1764.51,3/19/2024,PayPal,57,Female,South America
102,T00102,Headphones,Sony WH-1000XM4,7,2846.16,8.58,2601.96,2/14/2025,Cash,65,Female,Europe
103,T00103,Mobile,iPhone 13,5,2270.66,17.51,1873.07,10/27/2024,Debit Card,42,Male,South America
104,T00104,Laptop,MacBook Pro,2,2647.24,16.85,2201.18,6/13/2023,Cash,65,Female,South America
105,T00105,Headphones,Sony WH-1000XM4,1,2360.9,8.94,2149.84,4/22/2024,PayPal,63,Female,South America
106,T00106,Laptop,MacBook Pro,10,2039.36,11.67,1801.37,11/2/2024,Cash,31,Female,South America
107,T00107,Mobile,Samsung Galaxy S22,9,1844.62,9.41,1671.04,10/11/2023,Credit Card,60,Male,Europe
108,T00108,Headphones,Bose 700,1,1053.08,27.71,761.27,1/8/2025,Debit Card,51,Female,Asia
109,T00109,Mobile,Samsung Galaxy S22,6,1485.26,3.64,1431.2,12/18/2023,Credit Card,44,Male,South America
110,T00110,Smartwatch,Samsung Galaxy Watch 4,7,512.01,14.63,437.1,2/12/2024,Credit Card,59,Female,Asia
111,T00111,Mobile,iPhone 13,8,1208.41,15.02,1026.91,5/6/2023,PayPal,19,Female,Europe
112,T00112,TV,LG OLED,2,2746.47,21.8,2147.74,7/17/2024,PayPal,19,Male,Europe
113,T00113,TV,Sony Bravia,1,2188.35,18.46,1784.38,12/15/2023,Credit Card,45,Female,North America
114,T00114,Headphones,Sony WH-1000XM4,8,272.34,9.83,245.57,8/9/2024,Cash,53,Female,Africa
115,T00115,Laptop,MacBook Pro,1,2905.77,20.83,2300.5,6/27/2024,Cash,48,Male,Europe
116,T00116,Laptop,Dell XPS 15,1,1853.6,21.02,1463.97,2/6/2025,Credit Card,41,Female,Africa
117,T00117,TV,Sony Bravia,3,2689.82,25.14,2013.6,11/6/2023,Credit Card,48,Male,North America
118,T00118,TV,LG OLED,5,746.11,17.56,615.09,5/13/2024,Debit Card,68,Male,South America
119,T00119,TV,LG OLED,7,2046.9,12.19,1797.38,6/13/2023,PayPal,21,Male,Africa
120,T00120,Laptop,MacBook Pro,7,2144.25,27,1565.3,7/25/2024,Credit Card,38,Male,South America
121,T00121,Headphones,AirPods Pro,9,2053.79,18.9,1665.62,9/20/2023,Cash,67,Female,North America
122,T00122,Laptop,Dell XPS 15,8,1559.81,10.6,1394.47,5/19/2023,PayPal,54,Female,North America
123,T00123,Smartwatch,Apple Watch Series 7,6,469.5,18.21,384,4/15/2023,PayPal,41,Male,Europe
124,T00124,Headphones,Sony WH-1000XM4,8,276.92,7.42,256.37,3/14/2023,PayPal,20,Male,Europe
125,T00125,Smartwatch,Apple Watch Series 7,1,2609.36,27.17,1900.4,2/9/2025,Debit Card,41,Female,North America
126,T00126,Headphones,Bose 700,2,499.05,26.1,368.8,6/16/2024,PayPal,55,Male,North America
127,T00127,Mobile,iPhone 13,1,389.06,6.63,363.27,7/27/2023,Cash,61,Male,Europe
128,T00128,Smartwatch,Apple Watch Series 7,10,1074.68,19.6,864.04,12/1/2024,Credit Card,65,Female,Africa
129,T00129,Smartwatch,Apple Watch Series 7,8,752.96,20.55,598.23,9/3/2024,PayPal,18,Male,Africa
130,T00130,Smartwatch,Samsung Galaxy Watch 4,6,2079.71,17.12,1723.66,10/14/2024,PayPal,32,Male,North America
131,T00131,TV,Sony Bravia,2,1823,8.62,1665.86,4/12/2024,Credit Card,25,Male,South America
132,T00132,Smartwatch,Apple Watch Series 7,8,1362.27,2.9,1322.76,12/31/2023,Cash,25,Female,Africa
133,T00133,Mobile,iPhone 13,3,212.45,28.98,150.88,4/19/2023,Cash,51,Female,Asia
134,T00134,Laptop,HP Spectre x360,9,2992.69,16.27,2505.78,10/27/2023,PayPal,45,Male,Africa
135,T00135,Mobile,Samsung Galaxy S22,10,1074.64,12.56,939.67,8/20/2024,PayPal,40,Male,South America
136,T00136,Smartwatch,Garmin Forerunner,5,2483.54,15.93,2087.91,4/29/2023,Debit Card,18,Male,South America
137,T00137,Laptop,Dell XPS 15,2,1071.59,1.59,1054.55,7/24/2023,Credit Card,46,Male,Asia
138,T00138,Headphones,Bose 700,1,1528.85,7.78,1409.91,11/30/2024,Debit Card,44,Female,Asia
139,T00139,Headphones,Sony WH-1000XM4,7,678.1,27.89,488.98,8/6/2023,Credit Card,33,Male,Africa
140,T00140,Smartwatch,Apple Watch Series 7,10,2080.99,1.95,2040.41,6/4/2024,Debit Card,23,Female,Asia
141,T00141,TV,Samsung QLED,4,102.57,9.42,92.91,7/26/2023,Cash,39,Male,Europe
142,T00142,Laptop,HP Spectre x360,7,1660.37,12.22,1457.47,1/24/2024,PayPal,36,Female,Africa
143,T00143,Mobile,iPhone 13,10,999.72,13.37,866.06,12/4/2024,Credit Card,26,Female,Africa
144,T00144,TV,LG OLED,1,1016.91,17.88,835.09,10/15/2023,Credit Card,57,Female,Africa
145,T00145,Mobile,Google Pixel 6,2,2279.58,29.7,1602.54,10/1/2024,Debit Card,24,Male,North America
146,T00146,Smartwatch,Apple Watch Series 7,3,1174.6,13.21,1019.44,5/29/2023,PayPal,33,Female,Europe
147,T00147,Smartwatch,Samsung Galaxy Watch 4,10,2916.84,10.68,2605.32,12/18/2024,Debit Card,50,Female,North America
148,T00148,Headphones,AirPods Pro,3,2755.08,17.06,2285.06,11/29/2023,Debit Card,48,Female,North America
149,T00149,TV,Samsung QLED,4,2963.31,16.43,2476.44,3/30/2024,PayPal,55,Female,North America
150,T00150,TV,Sony Bravia,10,1007.37,17.33,832.79,2/6/2025,PayPal,54,Male,South America
151,T00151,Smartwatch,Samsung Galaxy Watch 4,3,2535.47,11.47,2244.65,7/17/2023,Cash,70,Female,Asia
152,T00152,TV,Samsung QLED,6,2834.49,7.69,2616.52,6/26/2023,Debit Card,49,Female,South America
153,T00153,Smartwatch,Apple Watch Series 7,9,1304.3,9.1,1185.61,7/12/2024,Cash,23,Female,South America
154,T00154,Headphones,AirPods Pro,4,2494.46,29.27,1764.33,11/7/2023,Cash,56,Male,Europe
155,T00155,Mobile,Google Pixel 6,6,904.81,15.43,765.2,10/14/2024,Cash,63,Female,Europe
156,T00156,Headphones,Sony WH-1000XM4,4,288.35,10.68,257.55,3/21/2024,PayPal,43,Female,Asia
157,T00157,Mobile,Google Pixel 6,6,2387.17,18.18,1953.18,3/18/2023,PayPal,62,Female,Europe
158,T00158,Laptop,MacBook Pro,2,201.46,25.44,150.21,11/26/2024,PayPal,45,Male,North America
159,T00159,Headphones,Bose 700,6,1260.83,24.54,951.42,7/5/2023,Credit Card,70,Male,South America
160,T00160,Mobile,iPhone 13,4,802.27,8.37,735.12,9/26/2024,Debit Card,60,Male,Europe
161,T00161,Mobile,Google Pixel 6,1,938.77,8.46,859.35,4/6/2024,Cash,46,Male,Europe
162,T00162,Mobile,Google Pixel 6,5,1056.55,12.7,922.37,8/9/2024,PayPal,36,Male,Africa
163,T00163,Mobile,iPhone 13,10,148.55,7.87,136.86,10/25/2023,Debit Card,53,Male,Africa
164,T00164,Smartwatch,Samsung Galaxy Watch 4,3,2294.72,5.43,2170.12,9/6/2023,PayPal,32,Female,North America
165,T00165,TV,Samsung QLED,10,1357.78,26.58,996.88,2/8/2025,Debit Card,47,Female,North America
166,T00166,Headphones,Bose 700,5,405.36,28.25,290.85,9/7/2023,PayPal,37,Female,Europe
167,T00167,Laptop,Dell XPS 15,3,2441.45,15.79,2055.95,8/5/2024,Cash,54,Male,North America
168,T00168,Headphones,AirPods Pro,4,1461.14,19.81,1171.69,8/1/2024,Credit Card,46,Female,South America
169,T00169,Mobile,Samsung Galaxy S22,2,1408.27,24.22,1067.19,6/16/2024,Debit Card,34,Female,North America
170,T00170,Laptop,Dell XPS 15,10,1618.82,5.83,1524.44,5/22/2024,Cash,57,Female,Europe
171,T00171,Laptop,Dell XPS 15,7,631.97,7.23,586.28,5/20/2023,Credit Card,21,Female,Africa
172,T00172,Headphones,Sony WH-1000XM4,6,1469.27,11.39,1301.92,1/30/2025,PayPal,50,Female,North America
173,T00173,TV,Sony Bravia,4,532.93,9.25,483.63,11/17/2023,Debit Card,43,Male,Asia
174,T00174,Mobile,Google Pixel 6,10,656.52,12.12,576.95,2/18/2025,Debit Card,60,Female,South America
175,T00175,Headphones,Sony WH-1000XM4,4,2394.9,5.91,2253.36,6/3/2024,Credit Card,47,Female,North America
176,T00176,Laptop,Dell XPS 15,5,2867.24,4.11,2749.4,11/14/2024,Cash,63,Female,North America
177,T00177,Laptop,Dell XPS 15,10,2632.51,6.55,2460.08,1/7/2024,Credit Card,64,Male,South America
178,T00178,Laptop,HP Spectre x360,1,402.37,25.69,299,11/22/2024,Debit Card,34,Male,South America
179,T00179,TV,Samsung QLED,1,2878.37,23.22,2210.01,2/22/2024,Credit Card,33,Male,Europe
180,T00180,TV,Samsung QLED,1,2989.87,21.42,2349.44,1/19/2025,Debit Card,26,Female,Europe
181,T00181,Headphones,Bose 700,7,2309.12,28.95,1640.63,9/4/2024,Cash,52,Female,Europe
182,T00182,Mobile,Google Pixel 6,6,2780.77,2.92,2699.57,1/8/2024,Credit Card,50,Male,North America
183,T00183,Headphones,Sony WH-1000XM4,2,2006.68,8.78,1830.49,11/21/2024,Credit Card,31,Male,South America
184,T00184,TV,LG OLED,6,2458.85,16.41,2055.35,4/4/2024,Cash,48,Male,Europe
185,T00185,TV,Samsung QLED,9,1502.54,14.31,1287.53,6/16/2023,PayPal,41,Female,Europe
186,T00186,Laptop,HP Spectre x360,1,1175.32,0.44,1170.15,12/7/2024,PayPal,23,Male,Asia
187,T00187,Laptop,Dell XPS 15,2,1668,2.67,1623.46,8/10/2023,Credit Card,42,Female,Asia
188,T00188,Mobile,Samsung Galaxy S22,9,1106.31,0.34,1102.55,9/12/2024,Cash,47,Female,Africa
189,T00189,Headphones,Bose 700,1,1930.51,7.9,1778,2/5/2024,Cash,21,Male,Africa
190,T00190,Headphones,AirPods Pro,7,1138.96,15.61,961.17,8/2/2023,Cash,36,Female,North America
191,T00191,TV,Samsung QLED,3,1212.4,10,1091.16,9/2/2024,Debit Card,41,Male,Europe
192,T00192,TV,LG OLED,9,596.33,12.02,524.65,4/28/2023,Debit Card,19,Female,Europe
193,T00193,Laptop,MacBook Pro,1,1875.94,20.25,1496.06,9/24/2023,PayPal,34,Male,Asia
194,T00194,Laptop,Dell XPS 15,8,302.82,22.54,234.56,9/12/2024,Credit Card,21,Female,Africa
195,T00195,Mobile,Google Pixel 6,2,370.95,20,296.76,11/24/2024,Debit Card,38,Male,South America
196,T00196,Smartwatch,Apple Watch Series 7,4,693.06,14.63,591.67,3/10/2024,Cash,59,Male,Europe
197,T00197,Smartwatch,Apple Watch Series 7,1,1773.42,3.32,1714.54,5/26/2024,PayPal,45,Male,Asia
198,T00198,Mobile,iPhone 13,4,586.26,25.57,436.35,6/3/2024,Credit Card,43,Male,Africa
199,T00199,Smartwatch,Garmin Forerunner,10,2774.1,21.14,2187.66,3/12/2024,Cash,38,Female,Asia
200,T00200,Laptop,HP Spectre x360,3,2952.39,20.13,2358.07,7/15/2024,Credit Card,29,Male,Asia
201,T00201,Smartwatch,Samsung Galaxy Watch 4,9,1626.18,14.55,1389.57,8/16/2023,Cash,25,Female,Asia
